151,62,5
151,150,9
153,66,3
154,61,1
155,154,13
157,83,1
157,102,250
157,103,250
158,75,2
158,108,11
159,76,4
159,109,59
159,111,4
159,113,1
159,158,65
160,69,2
164,97,23
165,98,23
166,93,4
166,94,1
166,96,1
166,97,15
166,98,11
166,101,1
167,75,2
167,101,4
167,109,3
168,92,1
168,108,2
168,167,1
169,109,3
169,159,3
170,108,19
170,109,13
170,111,1
171,91,3
171,92,5
172,91,6
172,92,10
172,101,14
172,158,6
172,167,6
172,171,14
174,98,3
175,92,6
175,98,1
175,167,1
175,168,1
175,170,2
175,171,2
176,88,2
176,112,2
176,167,6
176,168,1
176,171,1
176,175,16
177,92,17
177,101,12
177,102,1
177,109,5
177,159,7
177,167,5
177,169,1
177,171,22
177,175,2
177,176,1
177,177,5
178,159,5
178,177,1
178,178,2
180,121,3
180,133,6
180,179,8
180,180,1
181,128,15
181,132,6
181,179,1
182,125,6
182,129,27
182,133,3
182,181,40
183,65,1
183,75,3
183,83,1
183,116,5
183,183,1
184,80,2
184,84,4
184,117,3
185,182,2
186,154,1
186,181,2
187,77,9
193,91,2
193,96,1
193,101,14
193,106,2
193,107,1
193,171,3
193,181,5
193,187,1
193,188,2
194,106,1
194,158,3
194,172,50
194,187,3
194,188,9
194,193,6
195,103,1
195,171,2
195,172,6
195,178,8
195,179,1
195,194,1
196,170,5
196,177,6
197,159,1
197,169,2
197,170,2
197,177,7
197,196,22
198,92,5
198,171,5
198,172,8
198,185,3
198,186,2
198,195,5
199,92,1
199,95,6
199,97,3
200,92,2
200,95,21
200,97,2
200,175,1
200,199,2
201,147,1
201,177,2
201,178,11
201,179,2
201,194,1
201,195,1
202,92,2
202,173,4
203,92,2
203,173,2
203,174,1
204,192,1
205,204,1
206,154,12
206,156,5
206,160,1
206,162,1
206,186,1
207,156,3
208,131,4
208,205,1
208,206,12
209,132,5
209,194,1
209,207,26
211,84,1
211,207,2
212,157,4
213,101,9
213,175,18
213,176,2
213,177,11
213,179,6
213,213,15
214,92,1
214,101,19
214,170,2
214,175,2
214,176,5
214,177,11
214,180,10
214,212,12
214,213,33
214,214,5
215,92,2
215,97,2
215,98,1
215,103,6
215,108,2
215,199,11
215,200,17
215,207,24
215,208,4
216,92,17
216,97,3
216,102,4
216,125,8
216,175,4
216,193,1
216,199,39
216,200,33
216,206,9
216,209,8
216,215,108
217,101,3
217,107,1
217,108,14
217,175,1
217,196,1
217,202,4
217,215,15
217,216,21
218,97,6
218,98,1
218,101,3
218,102,1
218,103,2
218,106,2
218,109,7
218,166,3
218,167,2
218,173,1
218,174,1
218,176,1
218,177,5
218,199,2
218,203,2
218,215,57
218,216,69
218,217,13
220,70,1
222,115,2
223,122,25
223,139,1
224,123,22
225,117,1
226,117,1
226,180,1
227,139,2
227,212,3
227,225,2
227,226,3
228,156,1
228,186,5
228,208,4
228,209,6
229,138,3
229,180,9
230,130,2
230,133,3
232,130,5
232,179,6
232,230,26
234,192,3
234,233,9
235,90,10
235,99,1
236,90,19
236,186,2
236,209,3
236,235,16
237,171,2
237,180,3
237,183,15
237,184,1
238,184,6
238,232,9
242,179,3
243,180,3
243,232,3
243,242,3
244,156,2
244,180,2
244,233,1
244,235,5
244,244,3
245,179,6
245,216,1
245,234,4
245,236,9
245,244,36
246,193,3
247,205,1
248,192,18
248,237,1
249,191,6
249,194,4
250,179,4
250,213,15
250,246,2
251,180,11
252,214,5
252,237,8
252,247,2
252,250,19
253,182,4
253,213,3
253,238,5
253,242,4
253,247,3
253,249,3
253,251,9
254,253,1
255,194,1
255,247,1
256,193,1
256,248,1
256,252,1
257,149,1
257,205,1
258,215,2
258,216,9
259,215,7
259,216,3
259,258,1
260,215,6
260,216,7
261,92,5
261,215,3
262,215,24
262,216,14
262,217,3
262,218,3
262,262,3
263,213,1
263,215,85
263,216,17
263,217,2
263,218,3
263,262,9
264,215,6
264,216,15
264,218,4
265,195,7
265,215,8
265,216,5
265,264,3
266,101,1
266,167,1
266,177,2
266,215,9
266,216,1
266,218,5
267,101,10
267,159,1
267,171,17
267,172,2
267,177,10
267,198,2
267,201,3
267,266,3
268,214,15
269,213,4
269,214,3
269,268,5
270,96,2
270,193,1
270,213,9
270,214,2
270,269,14
271,101,1
271,213,4
271,214,5
271,218,2
271,263,2
271,270,1
272,213,3
272,214,4
272,217,1
273,101,3
273,213,14
273,214,9
273,215,7
273,216,6
273,264,1
273,272,5
274,213,18
274,214,2
274,215,7
274,273,5
276,259,2
278,260,4
281,199,1
281,215,42
281,216,15
281,263,1
282,215,8
282,216,5
283,214,1
283,215,23
283,216,5
284,213,1
284,215,7
284,216,7
285,266,2
285,267,1
286,101,1
286,108,2
286,111,13
286,159,6
286,176,1
286,201,30
286,265,8
286,267,5
288,287,6
289,272,1
289,288,2
290,170,1
290,196,6
290,197,2
290,289,3
291,158,1
291,171,2
291,178,1
291,201,1
291,215,1
291,273,2
291,290,3
292,171,5
292,291,3
293,215,5
293,216,7
293,259,9
294,215,13
294,260,1
295,215,6
295,216,3
295,275,3
295,276,2
296,215,6
296,216,3
296,276,9
297,216,5
298,215,13
298,260,1
298,294,1
299,215,2
299,216,5
299,296,1
300,215,2
300,216,2
301,97,2
301,98,2
301,101,1
